sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,GED,LCS,BehavioralProfile
ResearchPaper1,0,0,1,0,2,0,3,0.6363636363636364,1.0,0.8183807439824945
ResearchPaper1,0,0,1,0,2,1,0,0.9541284403669725,1.0,0.7410526315789474
ResearchPaper1,0,0,1,0,2,1,1,0.8440366972477065,1.0,0.4082624544349939
ResearchPaper1,0,0,1,0,2,1,2,0.6851851851851851,1.0,0.8507795100222717
ResearchPaper1,0,0,1,0,2,1,3,0.5656565656565656,1.0,0.7716186252771619
ResearchPaper1,0,0,1,0,2,2,0,0.9345794392523364,1.0,0.7986270022883295
ResearchPaper1,0,0,1,0,2,2,1,0.7428571428571429,1.0,0.7039337474120083
ResearchPaper1,0,0,1,0,2,2,2,0.8113207547169812,1.0,0.6137254901960785
ResearchPaper1,0,0,1,0,2,2,3,0.5858585858585859,1.0,0.6713147410358565
ResearchPaper1,0,0,1,0,2,3,0,0.9433962264150944,1.0,0.5956607495069034
ResearchPaper1,0,0,1,0,2,3,1,0.8113207547169812,1.0,0.7840909090909091
